vx,vy,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,label
-3,-10,-13,-23,-32,-40,-34,-9,11,36.5,29.5,30,45,44,40.25,8.75,-32,-27.5,-25,-24,-19,-8,12,24,22,5,-9,-15,-16,-13.5,-17.5,-4,a
-4,-30,-27,-48,-83,-31,5,34,37,44,50,30,27,11,11,0,-16,-35,-35,-35,-1,65,26,7,-7,-24,-25,-13,-11,-2,-4,0,a
-26.5,-35,-69,-114,-29.5,16.5,40,39,33,35,26,23,19,28.75,28.75,1.5,-29,-29,-31,11,42,37,12,0,-10,-16,-16,-19,-16,-21.75,-23.25,-1,a
-11,-36,-46,-53,-68,-35,5,39,37,38,51,48,32,11,18,0,-27,-50,-35,-23,8,31,29,14,0,-14,-28,-28,-24,-6,-13,0,a
-16,-27,-37,-53,-62,-57,-7,11,39,33,32,30,33.5,36.5,43,7,-27,-30,-28,-17,10,54,25,23,4,-14,-26,-20,-28.5,-25.5,-10,-2,a
-5,-48,-56,-70,-93,-35,22,39,58,65,52,46,25,7,0,0,0,-57,-50,-45,-24,49,34,1,-31,-38,-35,-21,-13,-6,0,0,a
-42,-51,-70,-56,-43,-8,29,38,33,40,30,33,36,24,0,0,-71,-59,-43,-4,50,41,21,0,-14,-20,-22,-28,-23,-12,0,0,a
-38.75,-48.25,-37,-47,-51,-60,-32,6.5,63,72.5,59,32,37.5,37.5,40.25,15.75,-62.25,-53.25,-25,-20,-7,21,61,45,23,-6.25,-40.25,-28.5,-27.5,-25.5,-25.75,-7.25,a
-22,-28,-43,-61,-75,-60,-51,3.5,46,60.5,42,34,40,44,47,7,-38,-37,-36,-40,-30,-2,51,57.5,22,-2,-28.5,-31,-30,-25.5,-24.25,-3.25,a
-27,-44,-49,-97,-82,-42,-20.5,36,51.5,42,41,37,32,45.5,49,4.5,-32.5,-50,-38,-39,7,26,45,37.5,-0.5,-19,-24,-24,-31,-41,-41,-2,a
