vx,vy,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,label
0,3,3,1,1,0,0,0,0,6,35,51,69,22,9,0,-16,-18,-32,-37,-26,-8,-10,-7,-1,0,6,6,4,0,0,0,l
0,0,0,0,0,0.5,22.5,31,17,20,28,16,25,28,22,10,-22,-20,-30,-45,-34,-41.875,-7.125,0,-1,0,-1,-1,0,0,3.25,1.75,l
-2,-2,-1,0,0,0,0,50,41,26,24,22,18,3,1,0,-13,-29,-29,-38,-42,-27,-12,-1,-6,-1,0,0,0,0,0,0,l
1,1,2,1,7,5,5.5,28.5,42,32,29,24,19,7,9.5,0.5,-17,-22,-32,-43,-54,-43,-28.25,-0.75,0,0,0,0,0,0,0,0,l
2,4,7,6,13,10,4.25,29.75,31,27,26,36,19,10,4.5,0.5,-18,-41,-50,-47,-50,-53,-31,-2,2,0,0,0,1,2,0,0,l
2.5,1,3,7,8,8,3.5,11.5,22,35,31,30,28,41,32.25,8.75,-29,-37,-41,-52,-48,-40,-22.75,-3.25,0,0,0,0,-1,-2,0,0,l
0,0,2,2,4,5,7,1.5,30.5,50,46,28,23,24,14.75,2.25,-23.5,-35,-29,-27,-29,-31,-32,-16.875,-2.125,2,0,0,-1,-1,0,0,l
0,4,5,8,9,4,2.5,24.5,26,38,30,30,21,13,15.25,2.75,-7,-39,-36,-45,-56,-32,-12.75,-1.25,2,0,0,0,0,0,0,0,l
0,3,4,7,7,4.5,18.5,29,37,38,36,43,29,7,3.5,0.5,-24,-56,-42,-48,-41,-26.25,-0.75,0,1,0,0,0,2,0,0,0,l
2.25,1,3,1,5,9.75,25.25,22,26,24,37,45,28,24,22.75,3.25,-32.5,-37,-48,-52,-45,-47.75,-4.25,0,0,2,5,4,7,7,3,0,l
6,4,4,5,4,5,0,19,27,36,37,37,35,30,13.5,1.5,-10,-30,-42,-52,-46,-42,-5,0,0,0,-1,-1,-1,-4,0,0,l
3,0,0,0,0,0,0.5,22.5,36,33,30,27,27,17,7.5,1.5,-13,-25,-30,-30,-39,-36,-16.5,-1.5,3,5,1,0,0,0,0,0,l
